planet_name,orbital_period,planet_radius,planet_mass,star_temperature,star_radius,distance
11 Com b,323.21,12.2,4914.898486,4874,13.76,93.1846
11 UMi b,516.21997,12.3,4684.8142,4213,29.79,125.321
14 And b,186.76,13.1,1131.151301,4888,11.55,75.4392
14 Her b,1766.41,12.5,2828.672822,5338,0.93,17.9323
16 Cyg B b,798.5,13.5,565.7374,5750,1.13,21.1397
17 Sco b,578.38,12.9,1373.018718,4157,25.92,124.953
18 Del b,982.85,12.5,2926.246143,4980,8.8,76.222
1RXS J160929.1-210524 b,,18.647,3000,4060,1.31316,139.135
24 Boo b,30.33,13.9,280.6424834,4816,12.19,95.9863
24 Sex b,452.8,13.4,632.46,5098,4.9,72.0691
24 Sex c,883,13.9,273.32,5098,4.9,72.0691
2M0437 b,,13,1271.313628,3100,0.84,128.484
2MASS J01033563-5515561 AB b,,12.3,4131.79,,,47.2
2MASS J01225093-2439505 b,,11.209,7786.5,3530,0.36645,33.8281
2MASS J02192210-3925225 b,,16.14096,4417.837,3064,0.281,40.08964117
2MASS J0249-0557 c,,12.4,3686.809521,2859,0.315959,66.0613
2MASS J03590986+2009361 b,,12.2,5720.911326,2943,0.289776,117.435
2MASS J04414489+2301513 b,,12.6,2383.6,2936,0.231916,120.423987
2MASS J11011926-7732383 b,,11.9,8899.195396,,,
2MASS J11550485-7919108 b,,12.1,6356.56814,3021,0.600455,100.862
2MASS J12073346-3932539 b,,15.69257298,1652.707716,2825,0.21887,64.308
2MASS J19383260+4603591 b,406,13.4,603.877,29564,0.203,396.332
2MASS J21252752-8138278 b,,12.4,3813.940884,3592,0.672832,34.1154
2MASS J22362452+4751425 b,,12.3,3972.875,4045,0.641152,69.5737
2MASS J22501512+2325342 b,,11.9,9534.85221,3352,0.437589,57.2309
4 UMa b,270.27,12.6,2511.480072,4415,18.11,73.4603
47 UMa b,1078,13.2,804.08,5872,1.21334,13.7967
47 UMa c,2391,14.2,171.621,5872,1.21334,13.7967
47 UMa d,14002,13.5,521.22,5872,1.21334,13.7967
51 Eri b,9100,,3464.329636,7422,1.45,29.7575
51 Peg b,4.230785,14.3,146.2018,5758,1.17561,15.4614
55 Cnc B b,6.7994,1.69,3.5,3286,0.274,12.4773
55 Cnc B c,33.747,2.16,5.3,3286,0.274,12.4773
55 Cnc b,14.651552,13.9,263.9785,5198,0.98,12.5855
55 Cnc c,44.3936,8.51,54.4738,5198,0.98,12.5855
55 Cnc d,4799,13,1232.493,5198,0.98,12.5855
55 Cnc e,0.7365474,1.875,7.99,5172,0.943,12.5855
55 Cnc f,260.58,7.59,44.812,5198,0.98,12.5855
6 Lyn b,919.86,13.4,597.8352336,4941,4.94,54.6599
61 Vir b,4.215,2.11,5.1,5577,0.963,8.50332
61 Vir c,38.021,4.46,18.2,5577,0.963,8.50332
61 Vir d,123.01,5.11,22.9,5577,0.963,8.50332
7 CMa b,735.1,13.4,587.9855,4826,4.87,19.8101
7 CMa c,996,13.9,276.5121,4826,4.87,19.8101
70 Vir b,116.688,12.6,2380.45,5495,1.89,17.9011
75 Cet b,696.62,13.3,787.896621,4809,10.38,82.9613
75 Cet c,2051.62,13.9,289.8595072,4809,10.38,82.9613
8 UMi b,93.31,13.5,524.4168716,4847,10.73,162.552
81 Cet b,1005.57,13.1,1051.058542,4734,11.21,101.26
91 Aqr b,181.4,13.1,1017,4665,11,44.0304
AB Aur b,,12.5,2860.455663,9770,2.95887,162.127
AB Pic b,,12.3,4290.5,5285,0.999394,50.0475
AF Lep b,8905,13,1147.360549,6140,1.25,26.8564
AT2021ueyL b,4168.69,13.6,425.8900654,3680,,1040
AU Mic b,8.463446,4.79,8.99,3540,0.862,9.7221
AU Mic c,18.859023,2.79,14.46,3540,0.862,9.7221
AU Mic d,12.73596,1.02,1.053,3678,0.744,9.7221
AU Mic e,33.11,4.87,21.1,3665,0.82,9.7221
BD+03 2562 b,481.9,12.7,2034.112,4095,32.35,1070.63
BD+05 4868 A b,1.271869,,6.2,4596,0.69,43.5687
BD+14 4559 b,268.94,13.8,330.5432,4864,0.86,49.352
BD+15 2375 b,153.22,13.8,337.21763,4649,8.95,768.045
BD+15 2940 b,137.48,13.7,352.78,4796,14.7,426.42
BD+20 2457 b,379.63,12.1,6807.63,4137,49,1539.71
BD+20 2457 c,621.99,12.4,3963.17,4137,49,1539.71
BD+20 274 b,578.2,13,1334.886,4296,17.3,1322.51
BD+20 594 b,41.6855,2.57807,22.2481,5766,1.08,179.461
BD+37 3172 b,1887.76,12.4,3368.981114,4500,50.24,454.251
BD+42 2315 b,123.05,14.2,174.8056239,4500,17.85,610.715
BD+45 564 b,307.88,13.6,432.2466335,5004,0.813064,53.622
BD+48 738 b,392.6,13.9,289.2253,4414,11,871.493
BD+48 740 b,733,13.5,540.311,4534,10.33,666.589
BD+49 828 b,2590,13.5,508.5,4943,7.6,442.042
BD+55 362 b,265.59,14,228.836453,5012,0.896193,52.5697
BD+60 1417 b,,14.68376472,4767.426105,4993,0.797,44.9543
BD+63 1405 b,1198.48,12.4,3305.415433,5000,0.804724,38.0473
BD-06 1339 b,3.8728,,1523.033726,4324,0.686355,20.2695
BD-06 1339 c,125.94,8.38,53,4324,0.686355,20.2695
BD-08 2823 b,5.6,,2948.494132,4816,0.71,41.3342
BD-08 2823 c,237.6,12.5,104,4746,0.71,41.3342
BD-10 3166 b,3.48777,14.1,187.5197,5393,0.91,84.4069
BD-11 4672 b,1634,14.1,206.5895,4550,0.639,27.1665
BD-11 4672 c,74.2,4.04,15.37,4550,0.639,27.1665
BD-13 2130 b,714.29999,12.5,3108.3774,4545,19.17,925.214
BD-14 3065 b,4.2889731,21.59,3932,6935,2.35,589.423
BD-17 63 b,655.57,12.8,1639.99458,4714,0.74,34.4603
BD-210397 b,1891,14,214,4051,0.747,23.7324
BD-210397 c,6240,12.9,1525.576354,4051,0.747,23.7324
BEBOP-3 b,547,14.2,177.3482511,6033,1.414,119.052
BEBOP-4 AB b,1823.5,,8358.887104,5701.43,2.75645,234.294
Barnard b,3.1542,0.72,0.299,3195,0.185,1.82655
Barnard c,4.1244,0.743,0.335,3195,0.185,1.82655
Barnard d,2.3402,0.694,0.263,3195,0.185,1.82655
Barnard e,6.7392,0.637,0.193,3195,0.185,1.82655
CD Cet b,2.2907,1.82,3.95,3130,0.175,8.60715
CD-35 2722 b,,17.37392009,9375.938007,3689,0.558549,22.3896
CFBDSIR J145829+101343 b,10037.5,12.4,3337.1,580.5,,23.1
CFHTWIR-Oph 98 b,8040000,20.8487041,2479.061575,2320,0.245,
CHXR 73 b,,12.3,3994.486,3099,,190.374
CI Tau c,25.2,13,1144.182265,3807,1.880857,157.998
COCONUTS-2 b,402000000,12.44196858,2542.627256,3406,0.388,10.8864
CT Cha b,,24.66,5403,4403,1.679694,190.72
CWISEP J193518.59-154620.3 b,,12.2,4926.340309,,,14.43
CoRoT-1 b,1.5089557,16.7,327.35,5950,1.11,787.909
CoRoT-10 b,13.2406,10.87,874,5075,0.79,338.386
CoRoT-11 b,2.99433,16.03,740.51,6440,1.37,655.037
CoRoT-12 b,2.828042,16.14,291.438,5675,1.116,1126.37
CoRoT-13 b,4.03519,9.92,415.704,5945,1.01,1148.93
CoRoT-14 b,1.51214,12.22,2415.4,6035,1.21,1744.6
CoRoT-16 b,5.35227,13.11,170.032,5650,1.19,732.409
CoRoT-17 b,3.7681,11.43,772.29,5740,1.59,1176.12
CoRoT-18 b,1.9000693,14.68,1102.82,5440,1,764.889
CoRoT-19 b,3.89713,14.46,352.78,6090,1.65,790.663
CoRoT-2 b,1.7429935,16.432,1102.82,5625,0.906,213.283
CoRoT-20 b,9.24285,9.41556,1366.669,5880,1.02,844.061
CoRoT-20 c,1675,12.2,5403.11,5880,1.02,844.061
CoRoT-21 b,2.72474,14.5717,718.2958,6200,1.95,1398.834197
CoRoT-22 b,9.75598,4.88,12.2,5939,1.136,627.158
CoRoT-23 b,3.6313,11.77,889.9,5900,1.61,1060.97
CoRoT-24 b,5.1134,3.7,5.7,4950,0.86,591.555
CoRoT-24 c,11.759,5,28,4950,0.86,591.555
CoRoT-25 b,4.86069,12.11,85.81,6040,1.19,1103.48
CoRoT-26 b,4.20474,14.12,165.26,5590,1.79,1045.18
CoRoT-27 b,3.57532,11.287,3302.11,5900,1.08,1010.28
CoRoT-28 b,5.20851,10.704595,153.82972,5150,1.78,766.183
CoRoT-29 b,2.85057,10.0881,270.1555,5260,0.9,806.507
CoRoT-3 b,4.2568,11.32,6883.91,6740,1.56,768.771
CoRoT-30 b,9.06005,11.309881,921.707,5650,0.91,1032.23
CoRoT-31 b,4.62941,16.36514,266.9772,5700,2.15,2005.76
CoRoT-32 b,6.71837,6.38913,47.6745,5970,0.79,576.683
CoRoT-35 b,3.22748,18.83108758,349.6112477,6390,1.65,1123.21
CoRoT-36 b,5.616531,15.80466279,216.1233168,6730,1.52,925.958
CoRoT-4 b,9.20205,13.34,228.83,6190,1.17,726.412
CoRoT-5 b,4.0378962,15.558,148.42,6100,1.186,882.472
CoRoT-6 b,8.886593,13.068,940.74,6090,1.025,645.294
CoRoT-7 b,0.85359163,1.68135,4.07660518,5275,0.83,159.906
CoRoT-7 c,3.698,2.83,8.4,5256,0.864273,159.906
CoRoT-7 d,8.966,4.31,17.142,5250,0.8389,159.906
CoRoT-8 b,6.21229,6.39,69.92,5080,0.77,322.037
CoRoT-9 b,95.272656,11.948794,266.9772,5625,0.96,412.98
DE CVn b,4098.1,12.4,3823.273302,3579,0.424754,30.5225
DENIS-P J082303.1-491201 b,246.36,11.9,9057.77,,,20.77
DH Tau b,,30.2643,3496,4371,0.27,134.846
DMPP-1 b,17.812,4.26,16.8,6196,1.26,62.5388
DMPP-1 c,10.03,3.31,10.94,6196,1.26,62.5388
DMPP-1 d,3.1417,2.02,4.72,6196,1.26,62.5388
DMPP-1 e,5.516,1.86,4.13,6196,1.26,62.5388
DMPP-2 b,5.203,14.2,171.48,6500,1.78,137.94
DMPP-2 c,3.168,8.26,51.79,6500,1.78,137.94
DMPP-2 d,16.491,11.6,91.79,6500,1.78,137.94
DMPP-3 A b,5.59,1.44,2.67,5138,0.91,46.8917
DMPP-4 b,3.4982,3.53,12.2,6400,1.38,25.3284
DMPP-6 b,7.6027,2.28,5.8,6182.09,1.27,54.6303
